component,variable_name,idType,dataType,variableType
EB,B_11,Input,double,data
EB,B_12,Input,double,data
EB,B_13,Input,double,data
EB,B_14,Input,double,data
EB,B_15,Input,double,data
EB,B_21,Input,double,data
EB,B_22,Input,double,data
EB,B_23,Input,double,data
EB,B_24,Input,double,data
EB,B_25,Input,double,data
EB,B_31,Input,double,data
EB,B_32,Input,double,data
EB,B_33,Input,double,data
EB,B_34,Input,double,data
EB,B_35,Input,double,data
EB,Buminusd_1,Output,double,data
EB,Buminusd_2,Output,double,data
EB,Buminusd_3,Output,double,data
EB,check_11,Output,double,data
EB,check_12,Output,double,data
EB,check_13,Output,double,data
EB,check_21,Output,double,data
EB,check_22,Output,double,data
EB,check_23,Output,double,data
EB,check_31,Output,double,data
EB,check_32,Output,double,data
EB,check_33,Output,double,data
EB,det_3x3,Function,double,data
EB,eps12,Internal,double,data
EB,eps6,Internal,double,data
EB,ridge_on,Output,boolean,data
